Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
rc4me,Drugs/RCs,4-FA - 5g,IUPAC name : (RS)-1-(4-Fluorophenyl)propan-2-amine  Pure 4FA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  We n ...,0.6028075603225808 BTC,China,,~5/5,
rc4me,Drugs/RCs,a-PPP - 25g,IUPAC : (RS)-1-Phenyl-2-(1-pyrrolidinyl)-1-propanone  Pure a-PPP  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,0.8086633033333334 BTC,China,,~5/5,
rc4me,Drugs/RCs,2-FMA - 100g,IUPAC name : (RS)-1-(2-fluorophenyl)-N-methylpropan-2-amine  Pure 2-FMA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is requir ...,2.778912613333333 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,4-EMC - 250g,IUPAC : 1-(4-ethylphenyl)-2-(methylamino)propan-1-one  Pure 4-EMC Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,4.312678425454546 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Pentedrone (Big Crystals) - 100g,IUPAC : (±)-1-phenyl-2-(methylamino)pentan-1-one  Pure Pentedrone Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,3.0719903952419343 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,4-FA - 100g,IUPAC name : (RS)-1-(4-Fluorophenyl)propan-2-amine  Pure 4FA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  We n ...,2.853118471796876 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Pentedrone (powder) - 250g,IUPAC : (±)-1-phenyl-2-(methylamino)pentan-1-one  Pure Pentedrone Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,3.59921683095238 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Ethylphenidate (Big Crystals) - 5g,IUPAC name :(RS)-ethyl 2-phenyl-2-piperidin-2-ylacetate  Pure Ethylphenidate (Big Crystals) Hydrochloride  from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing.  ...,0.6160151004032259 BTC,China,,~5/5,
rc4me,Drugs/RCs,A-PVP (powder) - 10g,IUPAC : (RS)-1-phenyl-2-(1-pyrrolidinyl)-1-pentanone  Pure A-PVP Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,0.7322067790243902 BTC,China,,~5/5,
rc4me,Drugs/RCs,Ethylphenidate (Big Crystals) - 250g,IUPAC name :(RS)-ethyl 2-phenyl-2-piperidin-2-ylacetate  Pure Ethylphenidate (Big Crystals) Hydrochloride  from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing.  ...,4.663967126929138 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,MPA - 100g,IUPAC : 1-(thiophen-2-yl)-2-methylaminopropane  Pure MPA  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  We need ...,3.2114538486725657 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,a-PPP - 10g,IUPAC : (RS)-1-Phenyl-2-(1-pyrrolidinyl)-1-propanone  Pure a-PPP  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,0.5356973588888888 BTC,China,,~5/5,
InternationalChems,Drugs/RCs,1GR - MDPV (EU stock!),High quality MDPV direct from our EU lab. ★ Please READ our entire profile before ordering. ★ No FE required! ★ Less than 24hs from order to shipping. ★ We DO NOT SHIP this product to: Austria  C ...,0.08891435696969698 BTC,EU GER and AUS,Worldwide except USA  GER and AUS,~5/5,
rc4me,Drugs/RCs,a-PVT - 5g,IUPAC : 2-(pyrrolidin-1-yl)-1-(thiophen-2-yl)pentan-1-one  Pure a-PVT  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is require ...,0.6229393001652889 BTC,China,,~5/5,
rc4me,Drugs/RCs,Ethylone (bk-MDEA) - 10g,IUPAC : (RS)-1-(1 3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one  Pure Ethylone  from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  ...,0.8224488442276419 BTC,China,,~5/5,
rc4me,Drugs/RCs,MDPPP - 50g,IUPAC : (RS)-1-(3 4-methylenedioxyphenyl)-2-(1-pyrrolidinyl)-1-propanone  Pure MDPPP Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signat ...,1.809467982520325 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,2-FMA - 25g,IUPAC name : (RS)-1-(2-fluorophenyl)-N-methylpropan-2-amine  Pure 2-FMA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is requir ...,0.9245736709090909 BTC,China,,~5/5,
rc4me,Drugs/RCs,3 4-CTMP - 1000g,IUPAC : Methyl (2R)-2-(3 4-dichlorophenyl)-2-[(2R)-piperidin-2-yl]acetate  Pure 3 4-CTMP   from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is r ...,19.16575445145163 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,A-PVP (Big Crystals) - 50g,IUPAC : (RS)-1-phenyl-2-(1-pyrrolidinyl)-1-pentanone  Pure A-PVP Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,1.9840800226399997 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
EverythingOnIt,Drugs/RCs,50g A-PVP 99% Pure Rock Crystals,50g of A-PVP 99% Pure Rock Crystals  FE Free express shipping Or  Non-FE express shipping option is available  Tracking Number will be provided for either options  It takes 5-10 working days  ...,0.6343820095918364 BTC,China,,5.00/5,
ChinaChem,Drugs/RCs,500g Dimethylone,CAS number: 109367-07-9 Formula: C12H15NO3 Purity(HPLC): 98.5%  bk-MDDMA (hydrochloride) is a potential psychotropic designer drug of the phenethylamine  amphetamine  and cathinone chemical class ...,5.089106159557519 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
PsiloManufacture,Drugs/RCs,1g for 15$ 3mmc 3-MMC  Metaphedron 3 MMC,Hi guys I'm new here but I can assure you that my services are at the highest level. My products as well.  I offer 1 gram 3MMC crystal. Very strong and fresh batch. Gives a real clean nice euphor ...,0.03763576166666667 BTC,EU,Worldwide,4.85/5,
EverythingOnIt,Drugs/RCs,500g Ethylone Moonrock Crystals,500g of Ethylone Moonrock Crystals  MDEA Methylone repalcement  FE Free express shipping with tracking provided  It takes 5-10 working days to most of countries  Picture can be arranged via p ...,4.160129769099998 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
SusnaSmith,Drugs/RCs,10 Grams Ethylone,10 grams of Ethylone rocks.  The product you see pictured is the product you will receive.  For international customers  the product will be crushed for stealth purposes.  Enjoy.,0.5641865202499998 BTC,USA,Worldwide,4.988/5,
Fappy,Drugs/RCs,A-PVP 5g,A-PVP (HCL)  Produces stimulant and euphoric effects very similar to MDVP. Be aware that high doses can produce intense prolonged panic attacks and psychosis from frequent dosing and sleep withdraw ...,0.26477100117647057 BTC,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
FREE,Drugs/RCs,200gr. 6-APB  FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,6.316523986764707 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
Jack_N_Hoff,Drugs/RCs,60+ RESEARCH CHEMICALS IN STOCK,If you are interested in a certain research chemical that is legal in China then send us a message.,30.191735655916663 BTC,China New Zealand  Russia  Finland  Germany or the Middle East.,Worldwide except Australia  New Zealand  Russia  Finland  Germany or the Middle East.,4.94/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,500gr.  4-EMC FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,4.581384771111111 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,20gr.5-APB FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,1.4632656988888888 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,500gr. 6-MAPB FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,9.155609953783785 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
geoffreygiraffe,Drugs/RCs,1 Gram Pure MDPV Powder,Hello there  Ladies and Gentlemen.  I’m Geoffrey Giraffe  and I am here to provide top quality products for reasonable prices.  I believe in honest representations of my products as well as chemical  ...,0.10732873375000002 BTC,USA Canada  W. Europe,USA  Canada  W. Europe,5.000/5,
ChinaChem,Drugs/RCs,Sample 4F-PVP,CAS number : 28117-76-2  purity: > 95%  YOU CAN FIND IMPORTANT INFORMATION'S LIKE OUR RESHIP POLICY ON OUR VENDOR PROFILE! PLEASE VISIT IT!!   Our Angora Topic: http://lacbzxobeprssrfx.onion/in ...,0.0840540142727273 BTC,China,Worldwide,5.00/5,
Nebulin,Drugs/RCs,200mg 3-MeO-PCP,This listing is for 200mg of 3-MeO-PCP.  ============================================================ Chemical Name: 3-MeO-PCP Systematic IUPAC Name: 1-[1-(3-methoxyphenyl)cyclohexyl]-piperidine  ...,0.21749438363636361 BTC,Australia,Australia,5.00/5,
FREE,Drugs/RCs,200gr. 6-MAPB FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,4.784439626578949 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
Fappy,Drugs/RCs,Pentedrone 1g,Pentedrone (HCL)  Produces a clear headed stimulant effects and mild euphoria. Great for working or socializing!  The comedown is mild and relaxing  allowing for a good night sleep afterwards  no  ...,0.0515105884 BTC,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
drzheng,Drugs/RCs,50g crystal DIMETHYLONE- FREE worldwide shipping,50g of small CRYSTAL DIMETHYLONE (bk-mddma) shipped worldwide using discreet methods.  For more info please see our profile.  Please note:  Different batches may have different texture and colo ...,1.5278821552830186 BTC,China,Worldwide,4.99/5,Average price may be skewed outliar > .5 BTC found
SusnaSmith,Drugs/RCs,10 Grams Ethylphenidate,This listing is for 10 grams of Ethylphenidate. It is in powder form. This is a Ritalin analog. Most people report that is stronger but shorter duration than Ritalin.,0.5555620485714282 BTC,USA,Worldwide,4.988/5,
FREE,Drugs/RCs,1kg. 5-MAPBD  FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,17.12636234972223 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,200gr.5-APB FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,5.317528593157894 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
Fappy,Drugs/RCs,4-HO-MiPT  5g,4-HO-MiPT (fumarate) aka Miprocin  Created by Alexander Shulgin and described in his book TIHKAL entry#22.  If you want an easy visual experience with an epic body feeling try 4-HO-MiPT. It is gr ...,1.6590386466666667 BTC,Canada,,4.96/5,Average price may be skewed outliar > .5 BTC found
ChinaChem,Drugs/RCs,Sample AB-FUBINACA,Product information AB-FUBINACA:  CAS number: 1185282-01-2  Formula: C20H21FN4O2  Purity(HPLC): 99.5%  Characteristics: White powder  For more information's about our reship policy  please  ...,0.05109591105263158 BTC,China,,5.00/5,
Fappy,Drugs/RCs,4-FA 5g,4-FA aka Flux  Related to amphetamine  it produces stimulant and entactogenic effects similar to MDMA (especially on the come up).  Dosage: 75 - 150 mg Duration:  4 - 12 hrs  This compound is  ...,0.22057527772727273 BTC,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
geoffreygiraffe,Drugs/RCs,112 Grams Pure MDPV Powder,*******PGP IS REQUIRED. FULL FIRST AND LAST NAME MUST BE PROVIDED. ANY ORDER THAT DOES NOT MEET THESE REQUIREMENTS WILL BE CANCELLED. PLEASE SEE THE BOTTOM OF MY PROFILE FOR A QUICK HOW-TO IN PGP**** ...,6.067464136470588 BTC,USA,,5.000/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,10gr. 6-MAPB FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,1.0825848280555554 BTC,China,,5.00/5,
geoffreygiraffe,Drugs/RCs,112 Grams Pure α-PVP Powder,*******PGP IS REQUIRED. FULL FIRST AND LAST NAME MUST BE PROVIDED. ANY ORDER THAT DOES NOT MEET THESE REQUIREMENTS WILL BE CANCELLED. PLEASE SEE THE BOTTOM OF MY PROFILE FOR A QUICK HOW-TO IN PGP**** ...,2.678916171578948 BTC,USA,,5.000/5,Average price may be skewed outliar > .5 BTC found
EverythingOnIt,Drugs/RCs,1000g Ethylone Moonrock Crystals,1000g of Ethylone Moonrock Crystals  MDEA Methylone repalcement  FE Free express shipping with tracking provided  It takes 5-10 working days to most of countries  Picture is not provided for  ...,7.128126400666668 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
SusnaSmith,Drugs/RCs,5 Grams Ethylone,5 grams of Ethylone rocks.  The product you see pictured is the product you will receive.  For international customers  the product will be crushed for stealth purposes.  Enjoy.,0.33368365222222196 BTC,USA,Worldwide,4.988/5,
Fappy,Drugs/RCs,5 x 4-AcO-DMT Capsules 20mg,5 x 4-AcO-DMT Capsules 20mg Fumarate  Excellent 4-AcO-DMT 99%+ pure  straight from the lab  For experienced users only  please do your own research and use diligently.  Duration: 6-8 hrs  Ora ...,0.09658545388888891 BTC,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
rc4me,Drugs/RCs,a-PVT - 100g,IUPAC : 2-(pyrrolidin-1-yl)-1-(thiophen-2-yl)pentan-1-one  Pure a-PVT  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is require ...,2.4192489665289254 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Pentedrone (Big Crystals) - 50g,IUPAC : (±)-1-phenyl-2-(methylamino)pentan-1-one  Pure Pentedrone Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,1.9820523498399993 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Ethylphenidate (Big Crystals) - 1000g,IUPAC name :(RS)-ethyl 2-phenyl-2-piperidin-2-ylacetate  Pure Ethylphenidate (Big Crystals) Hydrochloride  from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing.  ...,13.979176427967479 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Pentedrone (powder) - 50g,IUPAC : (±)-1-phenyl-2-(methylamino)pentan-1-one  Pure Pentedrone Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,1.6195914289682534 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,MPA - 250g,IUPAC : 1-(thiophen-2-yl)-2-methylaminopropane  Pure MPA  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  We need ...,4.816478712743362 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Pentedrone (powder) - 5g,IUPAC : (±)-1-phenyl-2-(methylamino)pentan-1-one  Pure Pentedrone Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,0.5903611560000003 BTC,China,,~5/5,
alfapentedron,Drugs/RCs,pentedrone 5 g crystals domestic PL,Clear as always !! crystals pentedrone 5 gr good price pro stealth  FE not require!   Refunds: 100 % in PL 50% in EU,0.16943664866666666 BTC,Poland,,4.82/5,
rc4me,Drugs/RCs,PV8 - 1000g,IUPAC : 1-Phenyl-2-(pyrrolidin-1-yl)heptan-1-one  Pure PV8  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  We ne ...,9.747109564919354 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,a-PPP - 500g,IUPAC : (RS)-1-Phenyl-2-(1-pyrrolidinyl)-1-propanone  Pure a-PPP  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,3.992660123333334 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,a-PPP - 100g,IUPAC : (RS)-1-Phenyl-2-(1-pyrrolidinyl)-1-propanone  Pure a-PPP  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,2.021658271111111 BTC,China,,~5/5,
rc4me,Drugs/RCs,A-PVP (powder) - 250g,IUPAC : (RS)-1-phenyl-2-(1-pyrrolidinyl)-1-pentanone  Pure A-PVP Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,3.434780963700788 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,4-FA - 50g,IUPAC name : (RS)-1-(4-Fluorophenyl)propan-2-amine  Pure 4FA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  We n ...,1.780892193412698 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Ethylphenidate (Big Crystals) - 100g,IUPAC name :(RS)-ethyl 2-phenyl-2-piperidin-2-ylacetate  Pure Ethylphenidate (Big Crystals) Hydrochloride  from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing.  ...,3.041366060639999 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,MDPPP - 500g,IUPAC : (RS)-1-(3 4-methylenedioxyphenyl)-2-(1-pyrrolidinyl)-1-propanone  Pure MDPPP Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signat ...,5.5613825786991855 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,MPA - 5g,IUPAC : 1-(thiophen-2-yl)-2-methylaminopropane  Pure MPA  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  We need ...,0.6155557477586209 BTC,China,,~5/5,
rc4me,Drugs/RCs,JWH-210 - 500g,JWH-210 is an analgesic chemical from the naphthoylindole family  which acts as a potent cannabinoid agonist at both the CB1 and CB2 receptors   It is one of the most potent 4-substituted naphthoyl d ...,6.384673234745764 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,a-PVT - 1000g,IUPAC : 2-(pyrrolidin-1-yl)-1-(thiophen-2-yl)pentan-1-one  Pure a-PVT  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is require ...,10.819876243902431 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Pentedrone (powder) - 1000g,IUPAC : (±)-1-phenyl-2-(methylamino)pentan-1-one  Pure Pentedrone Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,9.010262732419356 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Pentedrone (Big Crystals) - 5g,IUPAC : (±)-1-phenyl-2-(methylamino)pentan-1-one  Pure Pentedrone Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,0.6256284899200005 BTC,China,,~5/5,
rc4me,Drugs/RCs,PV8  -25g,IUPAC : 1-Phenyl-2-(pyrrolidin-1-yl)heptan-1-one  Pure PV8  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  We ne ...,1.1727582314754095 BTC,China,,~5/5,
rc4me,Drugs/RCs,a-PVT - 10g,IUPAC : 2-(pyrrolidin-1-yl)-1-(thiophen-2-yl)pentan-1-one  Pure a-PVT  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is require ...,0.8199815799999998 BTC,China,,~5/5,
mssource,Drugs/RCs,PENTEDRONE...!! 20 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Pentedrone   Quanty:: 20 gram   Purity:: 99 8% Powder/Chrystaline * ...,0.7615136567741936 BTC,World,WORLDWIDE,4.95/5,
geoffreygiraffe,Drugs/RCs,3.5 Grams Pure MDPV Powder: Aus/NZ,*******PGP IS REQUIRED. FULL FIRST AND LAST NAME MUST BE PROVIDED. ANY ORDER THAT DOES NOT MEET THESE REQUIREMENTS WILL BE CANCELLED. PLEASE SEE THE BOTTOM OF MY PROFILE FOR A QUICK HOW-TO IN PGP**** ...,0.3767174 BTC,USA,,5.000/5,
Jack_N_Hoff,Drugs/RCs,50 gram sample of a-PVP crystals,50 gram sample of a-PVP CRYSTALS express shipped with tracking.  Over 99% pure.  FE is required for all orders.  Orders shipped from China to USA have been taking 3 to 6 business days lately. Ord ...,1.1417551805208321 BTC,China New Zealand  Russia  Finland  Germany or the Middle East.,Worldwide except Australia  New Zealand  Russia  Finland  Germany or the Middle East.,4.94/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,PENTEDRONE...!! 500 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Pentedrone   Quanty:: 500 gram   Purity:: 99 8% Powder/Chrystaline  ...,4.628923236451612 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,4-FMC...!! 50 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FMC   Quanty:: 50 gram   Purity:: 99 8% Powder *High Definition  ...,1.2765372160000001 BTC,World,WORLDWIDE,4.95/5,
rainbowbear,Drugs/RCs,10 gram 4-FA 4-Fluoroamphetamine ( Free Shipping ),10 gram sample 4-FA 4-Fluoroamphetamine ( Free Shipping ) Must FE on all international orders. Tracking offered on 100 gram orders and up.    Thank You RB,0.983847797333333 BTC,China,,5.00/5,
mssource,Drugs/RCs,4-FMA...!! 10 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FMA    Quanty:: 10 gram   Purity:: 99 8% Powder *High Definition  ...,0.40618504000000005 BTC,World,WORLDWIDE,4.95/5,
geoffreygiraffe,Drugs/RCs,7 Grams Pure α-PVP Powder: Aus/NZ,*******PGP IS REQUIRED. FULL FIRST AND LAST NAME MUST BE PROVIDED. ANY ORDER THAT DOES NOT MEET THESE REQUIREMENTS WILL BE CANCELLED. PLEASE SEE THE BOTTOM OF MY PROFILE FOR A QUICK HOW-TO IN PGP**** ...,0.323156492 BTC,USA,,5.000/5,
mssource,Drugs/RCs,MDPBP...!! 500 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  MDPBP   Quanty:: 500 gram   Purity:: 99 8% HCL Powder *High Definit ...,4.636917626333334 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
HigherGroundsNL,Drugs/RCs,1 GRAM HIGH Quality 4-MMC (Mephedrone) powder from the Netherlands,Here we got some fine ass Mephedrone powder.  Before this we had the crystals  but this stuff doesn't is the real deal. I will update pictures today  it's perfectly white  and shiny to.   No this ...,0.07237920918367345 BTC,Netherlands,,4.82/5,
mssource,Drugs/RCs,4-FA...!! 100 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FA    Quanty:: 100 gram   Purity:: 99 8% Powder *High Definition  ...,1.738846286111111 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
Jack_N_Hoff,Drugs/RCs,100 gram sample of pure a-PVP crystals,100 gram sample of a-PVP CRYSTALS express shipped with tracking.  FE is required for all orders.  Orders shipped from China to USA have been taking 3 to 6 business days lately. Orders are usually ...,2.1300120696907214 BTC,China New Zealand  Russia  Finland  Germany or the Middle East.,Worldwide except Australia  New Zealand  Russia  Finland  Germany or the Middle East.,4.94/5,Average price may be skewed outliar > .5 BTC found
IsolatedWarrior,Drugs/RCs,a-PVP 1g - substitute this for adderall meth speed coke crack (or mdpv) & pass drug tests & save $,1g a-PVP  use this to get high or focus or study without burning a hole in your wallet and pass your tox screens with flying colors.  personally have shipped sample to lab to verify purity.  ha ...,0.09326906857142855 BTC,USA,USA,4.98/5,
mssource,Drugs/RCs,BUPHEDRONE...!! 50 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Buphedrone   Quanty:: 50 gram   Purity:: 99 8% Powder *High Definit ...,1.2737421270967744 BTC,World,WORLDWIDE,4.95/5,
geoffreygiraffe,Drugs/RCs,1 Gram Pure MDPV Powder: Aus/NZ,*******PGP IS REQUIRED. FULL FIRST AND LAST NAME MUST BE PROVIDED. ANY ORDER THAT DOES NOT MEET THESE REQUIREMENTS WILL BE CANCELLED. PLEASE SEE THE BOTTOM OF MY PROFILE FOR A QUICK HOW-TO IN PGP**** ...,0.137987476 BTC,USA,,5.000/5,
mssource,Drugs/RCs,VEVP...!! 200 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  VEVP   Quanty:: 200 gram   Purity:: 99 8% HCL Powder *High Definiti ...,2.788487615862069 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,4-FMA...!! 50 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FMA    Quanty:: 50 gram   Purity:: 99 8% Powder *High Definition  ...,1.2786343189655176 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,3-FA...!! 200 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  3-FA   Quanty:: 200 gram   Purity:: 99 8% Powder *High Definition  ...,3.518587091388889 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
IsolatedWarrior,Drugs/RCs,a-PVP 7g - substitute this for adderall meth speed (or mdpv) & pass drug tests & save $,7g a-PVP  use this to get high or focus or study without burning a hole in your wallet and pass your tox screens with flying colors.  personally have shipped sample to lab to verify purity.  ha ...,0.9056402064102568 BTC,USA,USA,4.98/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,1kg. Ethylphenidate FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,9.710236399666663 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
